ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
32,002,0000,320020000815,1,32-002-0000-03,00088,1,01,32002000081501,01,1,1,11,06,2019,9999,032,221,3,09,2019,0301,1,03,1
32,002,0000,320020000822,1,32-002-0000-03,00088,1,01,32002000082201,01,1,1,999,99,9999,9999,999,999,9,,,,,,1
32,002,0000,320020000827,1,32-002-0000-03,00088,1,01,32002000082701,01,1,1,32,07,2015,0102,032,221,3,05,2018,0301,1,01,1
32,002,0000,320020000836,1,32-002-0000-03,00089,1,01,32002000083601,01,1,1,36,08,2017,0101,032,221,1,,,,,,1
32,002,0000,320020000842,1,32-002-0000-03,00089,1,01,32002000084201,01,1,1,64,05,2019,9999,032,221,3,06,2019,0301,1,01,1
32,002,0000,320020000843,1,32-002-0000-03,00089,1,01,32002000084301,01,1,1,20,09,2019,0101,032,221,1,,,,,,1
32,002,0000,320020000854,1,32-002-0000-03,00090,1,01,32002000085401,01,1,1,20,04,2019,0102,032,221,3,11,2019,0301,1,02,1
32,002,0000,320020000859,1,32-002-0000-03,00091,1,01,32002000085901,01,1,1,29,12,2019,0102,032,221,1,,,,,,1
32,002,0000,320020000869,1,32-002-0000-03,00092,1,01,32002000086901,01,1,1,29,10,2019,0301,032,221,1,,,,,,1
32,002,0000,320020000878,1,32-002-0000-03,00094,1,02,32002000087801,01,1,1,999,99,9999,9999,999,999,9,,,,,,1
32,002,0000,320020000879,1,32-002-0000-03,00094,1,01,32002000087901,01,1,1,38,01,2019,0102,032,221,3,11,2019,0301,1,04,1
32,002,0000,320020000880,1,32-002-0000-03,00094,1,01,32002000088001,01,1,3,44,03,2017,0101,032,221,1,,,,,,1
32,002,0000,320020000880,1,32-002-0000-03,00094,1,01,32002000088002,02,1,1,14,03,2017,0501,032,221,1,,,,,,1
32,002,0000,320020000880,1,32-002-0000-03,00094,1,01,32002000088003,03,1,1,54,03,2017,0101,032,221,1,,,,,,1
32,002,0000,320020000884,1,32-002-0000-03,00095,1,01,32002000088401,01,1,1,34,01,2020,0102,032,221,1,,,,,,1
32,002,0000,320020000889,1,32-002-0000-03,00095,1,01,32002000088901,01,1,1,23,11,2017,0401,032,221,1,,,,,,1
32,002,0000,320020000898,1,32-002-0000-03,00097,1,01,32002000089801,01,1,1,36,01,2016,0101,032,221,1,,,,,,1
32,002,0000,320020000901,1,32-002-0000-03,00098,1,01,32002000090101,01,1,1,41,03,2019,0102,032,221,3,11,2019,0301,1,01,1
32,002,0000,320020000903,1,32-002-0000-03,00098,1,01,32002000090301,01,1,1,25,04,2019,0102,032,221,3,11,2019,0301,1,01,1
32,002,0000,320020000909,1,32-002-0000-03,00098,1,01,32002000090901,01,1,1,24,07,2019,0101,032,221,1,,,,,,1
32,002,0000,320020000910,1,32-002-0000-03,00098,1,02,32002000091001,01,1,1,10,10,2019,0301,032,221,1,,,,,,1
32,002,0000,320020000910,1,32-002-0000-03,00098,1,02,32002000091002,02,1,1,3,10,2019,0301,032,221,1,,,,,,1
32,002,0000,320020000923,1,32-002-0000-03,00099,1,02,32002000092301,01,1,1,25,05,2018,0102,032,221,1,,,,,,1
32,002,0000,320020000928,1,32-002-0000-03,00100,1,01,32002000092801,01,1,3,49,06,2019,0102,032,221,3,01,2020,0301,1,02,1
32,002,0000,320020000936,1,32-002-0000-03,00101,1,01,32002000093601,01,1,1,72,12,2019,0301,032,221,1,,,,,,1
32,002,0000,320020000937,1,32-002-0000-03,00101,1,01,32002000093701,01,1,1,33,02,2019,0102,032,213,3,09,2019,0301,1,03,1
32,002,0000,320020000938,1,32-002-0000-03,00101,1,01,32002000093801,01,1,1,45,02,2020,0101,032,221,1,,,,,,1
32,002,0000,320020000939,1,32-002-0000-03,00101,1,01,32002000093901,01,1,1,38,01,2020,0101,032,221,1,,,,,,1
32,002,0000,320020000952,1,32-002-0000-03,00104,1,01,32002000095201,01,1,1,39,03,2015,0101,032,221,3,11,2017,0301,1,01,1
32,002,0000,320020000958,1,32-002-0000-03,00106,1,01,32002000095801,02,1,1,65,01,2020,0102,032,225,3,02,2020,0301,1,01,1
32,002,0000,320020000958,1,32-002-0000-03,00106,1,01,32002000095802,01,1,3,57,01,2020,0102,032,225,3,02,2020,0301,1,02,1
32,002,0000,320020000961,1,32-002-0000-03,00106,1,01,32002000096101,01,1,1,25,05,2019,0101,032,221,1,,,,,,1
32,002,0000,320020000975,1,32-002-0000-03,00108,1,01,32002000097501,01,1,1,31,05,2018,0102,032,221,1,,,,,,1
32,002,0000,320020000978,1,32-002-0000-03,00109,1,01,32002000097801,01,1,1,24,04,2017,0101,032,221,1,,,,,,1
32,002,0000,320020000980,1,32-002-0000-03,00111,1,02,32002000098001,01,1,1,16,10,2015,0101,032,221,1,,,,,,1
32,002,0000,320020000981,1,32-002-0000-03,00111,1,02,32002000098101,01,1,1,22,06,2018,0101,032,221,3,07,2018,0301,3,,1
32,002,0000,320020000990,1,32-002-0000-03,00112,1,01,32002000099001,01,1,1,35,03,2016,0101,032,221,3,02,2019,0301,1,01,1
32,002,0000,320020001004,1,32-002-0000-03,00115,1,01,32002000100401,01,1,1,27,04,2019,0102,032,221,3,11,2019,0809,1,03,1
32,002,0000,320020001007,1,32-002-0000-03,00116,1,01,32002000100701,01,1,1,48,02,2020,0102,032,221,1,,,,,,1
32,002,0000,320020001010,1,32-002-0000-03,00118,1,02,32002000101001,01,1,1,999,99,9999,9999,999,999,9,,,,,,1
